haskell-jira-wiki-markup 1.5.1-97
haskell-juicypixels 3.3.9-66
haskell-lexer 1.1.2-1
haskell-libyaml 0.1.4-129
haskell-lpeg 1.1.0-11
haskell-lua 2.3.3-74
haskell-memory 0.18.0-83
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.1-1
haskell-monad-control 1.0.3.1-218
haskell-mono-traversable 1.0.21.0-103
haskell-network 3.1.4.0-96
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-108
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-132
haskell-only 0.1-24
haskell-optparse-applicative 0.18.1.0-161
haskell-ordered-containers 0.2.4-75
haskell-os-string 2.0.8-38
haskell-pandoc 3.2-34
haskell-pandoc-lua-engine 0.2.1.4-11
haskell-pandoc-lua-marshal 0.2.8-13
haskell-pandoc-server 0.1.0.6-37
haskell-pandoc-types 1.23.1-132
haskell-pem 0.2.4-361
haskell-pretty-show 1.10-18
haskell-prettyprinter 1.7.1-310
haskell-prettyprinter-ansi-terminal 1.1.3-381
haskell-primitive 0.9.1.0-62
haskell-psqueues 0.2.8.2-26
haskell-quickcheck 2.15.0.1-21
haskell-random 1.2.1.3-107
haskell-recv 0.1.1-46
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-57
haskell-resourcet 1.2.6-182
haskell-safe 0.3.21-80
haskell-safe-exceptions 0.1.7.4-138
haskell-scientific 0.3.8.0-80
haskell-semialign 1.3.1-28
haskell-semigroupoids 6.0.1-72
haskell-serialise 0.2.6.1-142
haskell-servant 0.20.3.0-18
haskell-servant-server 0.20.3.0-22
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-163
haskell-singleton-bool 0.1.8-21
haskell-skylighting 0.14.2-18
haskell-skylighting-core 0.14.2-18
haskell-skylighting-format-ansi 0.1-258
haskell-skylighting-format-blaze-html 0.1.1.3-112
haskell-skylighting-format-context 0.1.0.2-222
haskell-skylighting-format-latex 0.1-257
haskell-socks 0.6.1-313
haskell-some 1.0.6-47
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-102
haskell-splitmix 0.1.2-18
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-59
haskell-strict 0.5-210
haskell-syb 0.7.3-24
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-301
haskell-tasty 1.5-107
haskell-temporary 1.3-820
haskell-texmath 0.12.8.10-1
haskell-text-conversions 0.3.1.1-139
haskell-text-icu 0.8.0.5-78
haskell-text-iso8601 0.1.1-29
haskell-text-short 0.1.6-122
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-58
haskell-th-lift 0.8.6-1
haskell-th-lift-instances 0.1.20-127
haskell-these 1.2.1-151
haskell-time-compat 1.9.7-49
haskell-time-manager 0.0.1-121
haskell-tls 2.0.6-37
haskell-toml-parser 2.0.1.2-38
haskell-transformers-base 0.4.6-218
haskell-transformers-compat 0.7.2-3
haskell-typed-process 0.2.13.0-93
haskell-typst 0.5.0.4-20
haskell-typst-symbols 0.1.6-1
haskell-unicode-collation 0.1.3.6-95
haskell-unicode-data 0.6.0-9
haskell-unicode-transforms 0.4.0.1-152
haskell-uniplate 1.6.13-310
haskell-unix-compat 0.7.4.1-21
haskell-unix-time 0.4.17-44
haskell-unliftio 0.2.25.1-64
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-167
haskell-utf8-string 1.0.2-230
haskell-uuid-types 1.0.6-144
haskell-vault 0.3.1.5-272
haskell-vector 0.13.2.0-212
haskell-vector-algorithms 0.9.1.0-91
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-122
haskell-wai-app-static 3.1.9-188
haskell-wai-cors 0.2.7-458
haskell-wai-extra 3.1.17-97
haskell-wai-logger 2.5.0-110
haskell-warp 3.3.30-217
haskell-witherable 0.4.2-205
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-117
haskell-xml-types 0.3.8-10
